cod;month;name;sale
1;set;Ana Clara;2960
2;out;Derlândio;4356
3;nov;Derlândio;3950
4;out;Ana Clara;1798
5;nov;Derlândio;5182
6;dez;Ítalo;969
7;jan;Ana Clara;3423
8;out;Samila;865
9;nov;Jill;533
10;dez;Murilo;5158
11;jan;Derlândio;3811
12;fev;Ana Clara;3947
13;mar;Mario;3752
14;abr;Samila;1086
15;mai;Jill;4604
16;jun;Murilo;3432
17;jul;Samila;1730
18;jul;Jill;1485
19;ago;Ítalo;292
20;set;Ítalo;3119
21;out;Mario;4108
22;nov;Derlândio;5003
23;dez;Jill;3457
24;jan;Ana Clara;770
25;fev;Felipe;2833
26;mar;Murilo;4397
27;abr;Ana Clara;725
28;mar;Derlândio;4345
29;abr;Felipe;859
30;mai;Felipe;4105
31;jun;Murilo;4490
32;jul;Samila;5233
33;ago;Jill;1901
34;set;Derlândio;2784
35;out;Samila;3311
36;nov;Murilo;2930
37;out;Derlândio;4191
38;nov;Ítalo;2201
39;dez;Murilo;4859
40;jan;Derlândio;2138
41;out;Ana Clara;2799
42;nov;Ítalo;4746
43;dez;Mario;922
44;jan;Ítalo;510
45;fev;Jill;698
46;mar;Ana Clara;2743
47;abr;Ítalo;1548
48;mai;Samila;532
49;jun;Samila;4848
50;jul;Jill;1798
51;jul;Ítalo;1561
52;ago;Ítalo;2451
53;set;Felipe;4996
54;out;Derlândio;5222
55;nov;Felipe;1240
56;dez;Murilo;2803
57;jan;Felipe;3458
58;fev;Samila;210
59;mar;Ítalo;4288
60;abr;Samila;4072
61;mar;Murilo;1576
62;abr;Samila;2474
63;mai;Mario;4884
64;jun;Jill;2535
65;jul;Ana Clara;2006
66;ago;Felipe;5161
67;set;Jill;3108
68;out;Felipe;2937
69;nov;Mario;3583
70;dez;Felipe;5113
71;jan;Derlândio;4613
72;fev;Jill;3933
73;mar;Mario;3420
74;abr;Felipe;4164
75;mai;Samila;3071
76;jun;Samila;4940
77;jul;Samila;756
78;jul;Mario;4036
79;ago;Murilo;320
80;set;Ana Clara;1094
81;out;Samila;3779
82;nov;Felipe;4541
83;dez;Murilo;4881
84;jan;Ítalo;336
85;fev;Jill;2090
86;mar;Jill;2885
87;abr;Ana Clara;4338
88;mai;Ana Clara;3514
89;jun;Murilo;4632
90;jul;Ana Clara;1221
91;ago;Mario;2127
92;set;Samila;5081
93;out;Derlândio;1680
94;nov;Ana Clara;745
95;out;Felipe;3839
96;nov;Mario;3784
97;mai;Ítalo;395
98;jun;Samila;4994
99;jul;Jill;198
100;ago;Mario;2877
101;set;Mario;942
102;out;Samila;2099
103;nov;Felipe;966
104;dez;Samila;1755
105;jan;Mario;5095
106;fev;Ana Clara;1358
107;mar;Jill;1119
108;abr;Derlândio;988
109;mai;Ana Clara;974
110;jun;Felipe;5015
111;jul;Derlândio;662
112;jul;Ana Clara;3894
113;ago;Mario;2247
114;set;Samila;1069
115;out;Murilo;3451
116;nov;Murilo;1489
117;dez;Samila;754
118;jan;Ítalo;1509
119;fev;Derlândio;1763
120;mar;Ítalo;3647
121;abr;Ítalo;3206
122;mai;Felipe;3060
123;ago;Jill;3086
124;set;Samila;4307
125;out;Derlândio;2985
126;nov;Samila;4082
127;dez;Derlândio;4552
128;jan;Mario;441
129;fev;Jill;5090
130;mar;Derlândio;1756
131;abr;Jill;2046
132;mai;Derlândio;605
133;jun;Jill;3848
134;jul;Jill;390
135;ago;Murilo;3246
136;set;Murilo;685
137;out;Ana Clara;3774
138;nov;Ana Clara;2294
139;out;Ítalo;3167
140;nov;Felipe;5251
141;mai;Samila;2097
142;jun;Ítalo;4491
143;jul;Felipe;1040
144;ago;Jill;3247
145;set;Murilo;2295
146;out;Mario;762
147;jan;Murilo;1370
148;fev;Mario;3371
149;mar;Jill;5159
150;abr;Jill;4269
151;mai;Ana Clara;1076
152;jun;Jill;453
153;jul;Felipe;4741
154;ago;Ítalo;2693
155;set;Murilo;2601
156;out;Derlândio;3401
157;nov;Murilo;4049
158;dez;Samila;4742
159;jan;Samila;2362
160;fev;Mario;251
161;mar;Samila;5068
162;abr;Mario;1464
163;mai;Ana Clara;3854
164;jun;Mario;3250
165;jul;Derlândio;240
166;jul;Felipe;186
167;ago;Derlândio;3164
168;set;Jill;2547
169;out;Jill;1822
170;nov;Derlândio;171
171;dez;Ítalo;5061
172;jan;Murilo;672
173;fev;Murilo;2032
174;mar;Jill;1689
175;abr;Felipe;4057
176;mai;Derlândio;665
177;jun;Jill;3184
178;jul;Felipe;4579
179;ago;Ana Clara;4984
180;set;Ítalo;1587
181;out;Murilo;2567
182;nov;Derlândio;513
183;out;Derlândio;5226
184;nov;Murilo;582
185;dez;Murilo;1018
186;jan;Ana Clara;4687
187;out;Samila;4923
188;nov;Felipe;1065
189;dez;Ítalo;4895
190;jan;Felipe;2456
191;fev;Murilo;2086
192;mar;Ana Clara;2679
193;abr;Murilo;4372
194;mai;Ítalo;2998
195;jun;Felipe;2939
196;jul;Samila;3898
197;jul;Jill;3491
198;ago;Derlândio;3691
199;set;Mario;2381
200;out;Samila;4218
201;nov;Ana Clara;2870
202;dez;Mario;547
203;jan;Mario;1182
204;fev;Murilo;2773
205;mar;Samila;1378
206;abr;Jill;4350
207;mar;Felipe;174
208;set;Murilo;4191
209;out;Derlândio;2396
210;nov;Ana Clara;3994
211;out;Jill;1360
212;nov;Felipe;3539
213;dez;Derlândio;3920
214;jan;Jill;1426
215;out;Samila;3548
216;nov;Mario;860
217;dez;Jill;755
218;jan;Samila;4820
219;fev;Samila;1489
220;mar;Jill;2705
221;abr;Derlândio;1349
222;mai;Ana Clara;1127
223;jun;Ítalo;2204
224;jul;Murilo;3228
225;jul;Jill;1396
226;ago;Felipe;1948
227;set;Samila;2420
228;out;Samila;3194
229;nov;Samila;2606
230;dez;Derlândio;2431
231;jan;Samila;1503
232;fev;Mario;851
233;mar;Felipe;204
234;abr;Samila;184
235;mar;Murilo;1248
236;abr;Ana Clara;3254
237;mai;Murilo;4499
238;jun;Mario;5217
239;jul;Ítalo;378
240;ago;Ana Clara;1170
241;set;Ítalo;1992
242;out;Ítalo;3578
243;nov;Jill;4557
244;out;Murilo;2849
245;nov;Samila;2330
246;dez;Ana Clara;3436
247;jan;Ana Clara;1981
248;out;Jill;369
249;nov;Mario;308
250;dez;Ítalo;3140
251;jan;Jill;1489
252;fev;Jill;4408
253;mar;Mario;1549
254;abr;Murilo;2135
255;mai;Mario;382
256;jun;Ana Clara;1765
257;jul;Mario;1123
258;jul;Felipe;1728
259;ago;Murilo;5136
260;set;Felipe;4315
261;out;Derlândio;3724
262;nov;Felipe;2536
263;dez;Jill;4588
264;jan;Mario;498
265;fev;Jill;1165
266;mar;Derlândio;4872
267;abr;Ana Clara;1345
268;mar;Derlândio;4918
269;abr;Ana Clara;1763
270;mai;Ana Clara;5219
271;jun;Murilo;3002
272;jul;Derlândio;5223
273;ago;Samila;1602
274;set;Murilo;2368
275;out;Ana Clara;1415
276;nov;Samila;2969
277;dez;Ana Clara;1473
278;jan;Mario;1066
279;fev;Mario;572
280;mar;Ítalo;905
281;abr;Jill;3455
282;mai;Samila;421
283;jun;Felipe;1925
284;jul;Derlândio;3778
285;jul;Derlândio;902
286;ago;Samila;486
287;set;Mario;2365
288;out;Derlândio;5127
289;nov;Ana Clara;220
290;dez;Mario;4640
291;jan;Murilo;578
292;fev;Mario;5194
293;mar;Felipe;2071
294;abr;Derlândio;1285
295;mai;Murilo;1011
296;jun;Mario;1739
297;jul;Jill;2176
298;ago;Felipe;4675
299;set;Mario;3461
300;out;Mario;1958
301;nov;Mario;4022
302;out;Felipe;4425
303;nov;Felipe;1799
304;mai;Samila;5104
305;jun;Ana Clara;1353
306;jul;Jill;2151
307;ago;Felipe;1176
308;set;Mario;2820
309;out;Derlândio;4483
310;nov;Ítalo;1619
311;dez;Derlândio;1859
312;jan;Mario;3171
313;fev;Felipe;4010
314;mar;Murilo;3723
315;abr;Mario;804
316;mai;Derlândio;2728
317;jun;Jill;2501
318;jul;Murilo;214
319;jul;Ana Clara;294
320;ago;Ítalo;4630
321;set;Jill;167
322;out;Jill;1279
323;nov;Ana Clara;1017
324;dez;Samila;1137
325;jan;Murilo;2120
326;fev;Jill;593
327;mar;Samila;1790
328;abr;Ítalo;810
329;mai;Mario;5029
330;ago;Samila;3573
331;set;Derlândio;4686
332;out;Mario;3090
333;nov;Ítalo;4007
334;dez;Jill;3139
335;jan;Mario;2097
336;fev;Jill;2323
337;mar;Samila;1652
338;abr;Mario;2369
339;mai;Ítalo;3021
340;jun;Felipe;4039
341;jul;Ítalo;4840
342;ago;Mario;3970
343;set;Mario;3586
344;out;Samila;3618
345;nov;Samila;3617
346;out;Ítalo;1159
347;nov;Derlândio;3805
348;mai;Ana Clara;1508
349;jun;Ana Clara;4968
350;jul;Jill;2547
351;ago;Felipe;2196
352;set;Mario;1540
353;out;Felipe;954
354;jan;Murilo;3131
355;fev;Felipe;4799
356;mar;Jill;3781
357;abr;Derlândio;2971
358;mai;Felipe;596
359;jun;Murilo;5022
360;jul;Ana Clara;4436
361;ago;Murilo;453
362;set;Samila;291
363;out;Samila;2738
364;dez;Murilo;4510
365;jan;Murilo;286
366;fev;Ítalo;1463
367;mar;Felipe;3177
368;abr;Jill;5055
369;mai;Jill;3451
370;jun;Ana Clara;5104
371;jul;Murilo;2289
372;jul;Murilo;2731
373;ago;Derlândio;391
374;set;Derlândio;3659
375;out;Derlândio;2589
376;nov;Murilo;1770
377;dez;Ítalo;3053
378;jan;Derlândio;127
379;fev;Mario;4602
380;mar;Felipe;4384
381;abr;Ítalo;3867
382;mai;Jill;4674
383;ago;Felipe;5039
384;set;Ítalo;3892
385;out;Murilo;4380
386;nov;Murilo;1220
387;dez;Jill;1689
388;jan;Derlândio;3047
389;fev;Jill;4456
390;mar;Mario;1937
391;abr;Murilo;3291
392;mai;Mario;3453
393;jun;Derlândio;934
394;jul;Felipe;4526
395;ago;Murilo;2512
396;set;Felipe;1029
397;out;Murilo;1409
398;nov;Ítalo;837
399;out;Derlândio;2596
400;nov;Mario;960
401;mai;Mario;2249
402;jun;Ana Clara;3814
403;jul;Ana Clara;4895
404;ago;Ítalo;4499
405;set;Ítalo;3079
406;out;Murilo;2927
407;jan;Ítalo;4382
408;fev;Ítalo;631
409;mar;Jill;517
410;abr;Mario;3979
411;mai;Felipe;4620
412;jun;Jill;4935
413;jul;Samila;2893
414;ago;Ítalo;4782
415;set;Jill;4412
416;out;Felipe;1263
417;nov;Felipe;1435
418;dez;Ítalo;2171
419;jan;Felipe;4038
420;fev;Ítalo;2210
421;mar;Ítalo;5170
422;abr;Felipe;2454
423;mai;Ítalo;896
424;jun;Jill;3428
425;jul;Ana Clara;957
426;jul;Samila;1910
427;ago;Derlândio;2781
428;set;Jill;4287
429;out;Felipe;550
430;nov;Ítalo;1039
431;dez;Ana Clara;3760
432;jan;Jill;3057
433;fev;Jill;4720
434;mar;Murilo;2119
435;abr;Mario;1593
436;mai;Derlândio;723
437;jun;Mario;2397
438;jul;Mario;3685
439;ago;Jill;4857
440;set;Felipe;2600
441;out;Ítalo;2821
442;nov;Mario;3033
443;out;Mario;2626
444;nov;Samila;323
445;dez;Derlândio;5014
446;jan;Murilo;1223
447;out;Felipe;2301
448;nov;Ítalo;4809
449;dez;Jill;1770
450;jan;Samila;2046
451;fev;Murilo;4392
452;mar;Mario;2736
453;abr;Murilo;595
454;mai;Murilo;554
455;jun;Ana Clara;2663
456;jul;Ana Clara;2431
457;jul;Felipe;660
458;ago;Derlândio;5068
459;set;Ana Clara;2909
460;out;Jill;2150
461;nov;Samila;2958
462;dez;Murilo;2176
463;jan;Jill;4384
464;fev;Derlândio;1620
465;mar;Felipe;4468
466;abr;Mario;137
467;mar;Mario;220
468;set;Felipe;2672
469;nov;Ítalo;3225
470;out;Ana Clara;4645
471;nov;Jill;875
472;dez;Felipe;2062
473;jan;Ana Clara;1759
474;out;Samila;1768
475;nov;Jill;330
476;dez;Mario;2636
477;jan;Jill;2820
478;fev;Derlândio;1185
479;mar;Ítalo;2194
480;abr;Samila;4391
481;mai;Samila;2087
482;jun;Ítalo;4700
483;jul;Murilo;4467
484;jul;Jill;735
485;ago;Murilo;2952
486;set;Derlândio;2535
487;out;Felipe;523
488;nov;Derlândio;1300
489;dez;Ana Clara;662
490;jan;Mario;2469
491;fev;Jill;1818
492;mar;Mario;193
493;abr;Mario;4510
494;mar;Murilo;1630
495;set;Murilo;3012
496;out;Felipe;988
497;nov;Derlândio;1073
498;out;Felipe;3658
499;nov;Derlândio;1956
